ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Wedding.7253061.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/b868298bd9e82fc9188a19209eaaed6fcb666016355efb3e60b42e5ef492fcf5_20201128_125117_copy.small.jpg);""></a>";460;26.0;4;Wedding;TurinerStrasse;TurinerStrasse Wedding Berlin;(52.5500275, 13.3579682)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.7875108.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/08/a9e467eb740b4248a6a3eaca2392c09267c16a83608ff448c823215c57c891e6_AF31B0D4_7C61_4B55_B4AC_63F0C2B64549.small.jpeg);""></a>";670;23.0;2;Charlottenburg-Wilmersdorf;Gierkekietz;Gierkekietz Charlottenburg-Wilmersdorf Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Mitte.740160.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2013/19/ad4c75257401600_dsc_9306_800_1.sized.jpg);""></a>";500;12.0;3;Mitte;Marienstrasse;Marienstrasse Mitte Berlin;(52.5219883, 13.3821241)
"<a href=""/wg-zimmer-in-Berlin-Wedding.6204248.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2017/27/4e1258ec62042480_dsc01705.small.jpg);""></a>";462;25.0;2;Wedding;Koloniestr.;Koloniestr. Wedding Berlin;(52.5605632, 13.3804002)
"<a href=""/wg-zimmer-in-Berlin-Koepenick.7395291.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/c6d7fee638c272b4bd5e77fe3e09f0489d3ef46ec71e0b275d4836f62367b2f9_Screen_Shot_2019_11_22_at_15.14.43.small.png);""></a>";460;18.0;2;Koepenick;Firlstrasse30;Firlstrasse30 Koepenick Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8398506.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/602cc3f88c693ae8858d9707b6c65affcf9ffb8d3713e934024ac27d2e556dc0_download__10_.small.png);""></a>";650;12.0;3;Neukoelln;Ringbahnstrasse,32;Ringbahnstrasse,32 Neukoelln Berlin;(52.4678111, 13.3910596)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.6665238.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/0c09ea4715a9d3544f4dd5e5a7f9ac6f43dd80fc2c38d2d65cf7c95894cdbdb9_room2_7.small.jpg);""></a>";499;17.0;4;Friedrichshain;KurzeStr.11;KurzeStr.11 Friedrichshain Berlin;(52.5547579, 13.4220529)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.7499969.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/32/a5833d85f2026ff0b292678cf91814ec8c2b07e7912506dfb6237637d1b9799f_79FB5594_1950_4470_B631_158240374DE7.small.jpeg);""></a>";470;11.0;3;PrenzlauerBerg;Cotheniusstrasse2;Cotheniusstrasse2 PrenzlauerBerg Berlin;(52.5288044, 13.4491615)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8040668.html"" style=""background-image: url(https://www.wg-gesucht.de/img/placeholder/dummy_small.png);""></a>";330;10.0;2;Neukoelln;Dieselstrasse17;Dieselstrasse17 Neukoelln Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Reinickendorf.8235678.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/35/d7e332da545335943524481d6b10cc6f817802b778ba91c7eefb46f520a24023_20190828_202903.small.jpg);""></a>";460;16.0;2;Reinickendorf;Havelplatz;Havelplatz Reinickendorf Berlin;(52.6369486, 13.2005291)
